customer_id,transaction_id,amount_inr,payment_method,status,failure_reason,customer_tenure_months,historical_success_rate,previous_failures_count,customer_lifetime_value_inr,engagement_score,churn_probability,days_since_previous_payment,recovered
CUST-10492,TX-10492,9999.0,CREDIT_CARD,FAILED,Temporary payment authorization failure,18,0.94,1,125000.0,0.88,0.12,30,1
CUST-00002,TX-100001,18042.48,WALLET,FAILED,Invoice payment overdue,15,0.7724,0,203310.46,0.6434,0.325,54,0
CUST-00003,TX-100002,8836.14,DEBIT_CARD,FAILED,Insufficient funds,1,0.8839,2,92949.95,0.7515,0.2492,44,1
CUST-00004,TX-100003,13637.59,CREDIT_CARD,FAILED,Payment method declined,23,0.8156,0,221935.68,0.7765,0.2413,71,0
CUST-00005,TX-100004,6083.51,CREDIT_CARD,FAILED,Expired card,24,0.804,1,116085.52,0.2362,0.4351,30,1
CUST-00006,TX-100005,16919.29,CREDIT_CARD,FAILED,Invoice payment overdue,54,0.7105,5,64978.68,0.4807,0.351,78,0
CUST-00007,TX-100006,8444.93,DEBIT_CARD,FAILED,Temporary payment authorization failure,30,0.717,8,21216.21,0.3735,0.4249,5,1
CUST-00008,TX-100007,12731.17,NET_BANKING,FAILED,Invoice payment overdue,59,0.9649,5,142535.19,0.368,0.2422,19,1
CUST-00009,TX-100008,10285.31,DEBIT_CARD,FAILED,Insufficient funds,17,0.8787,6,215970.21,0.9093,0.1701,66,0
CUST-00010,TX-100009,9926.8,NET_BANKING,FAILED,Network timeout,10,0.8261,6,235895.56,0.6712,0.2941,68,0
CUST-00011,TX-100010,19330.67,CREDIT_CARD,FAILED,Expired card,44,0.8671,8,238684.9,0.7932,0.1721,38,1
CUST-00012,TX-100011,12938.2,UPI,FAILED,Temporary payment authorization failure,57,0.8667,8,96608.89,0.802,0.1476,82,1
CUST-00013,TX-100012,15174.14,CREDIT_CARD,FAILED,Payment method declined,11,0.7873,8,208758.05,0.9256,0.2247,15,0
CUST-00014,TX-100013,23700.26,NET_BANKING,FAILED,Temporary payment authorization failure,20,0.6554,3,35811.33,0.8936,0.2934,9,1
CUST-00015,TX-100014,13428.01,NET_BANKING,FAILED,Network timeout,43,0.7591,8,174017.57,0.3305,0.3952,28,0
CUST-00016,TX-100015,13180.61,DEBIT_CARD,FAILED,Temporary payment authorization failure,46,0.6872,5,140710.77,0.5461,0.3542,29,1
CUST-00017,TX-100016,1942.41,CREDIT_CARD,FAILED,Temporary payment authorization failure,38,0.6469,1,168899.56,0.7592,0.3152,43,1
CUST-00018,TX-100017,12087.84,DEBIT_CARD,FAILED,Payment method declined,14,0.7873,7,108776.76,0.392,0.4065,13,0
CUST-00019,TX-100018,24612.05,CREDIT_CARD,FAILED,Temporary payment authorization failure,30,0.9301,0,31770.91,0.732,0.1822,52,0
CUST-00020,TX-100019,4995.46,DEBIT_CARD,FAILED,Payment method declined,13,0.6337,7,139829.7,0.3107,0.5211,10,0
CUST-00021,TX-100020,24240.41,DEBIT_CARD,FAILED,Insufficient funds,4,0.8369,8,103254.87,0.8605,0.2319,53,1
CUST-00022,TX-100021,6997.47,UPI,FAILED,Payment method declined,4,0.6224,0,196923.57,0.9784,0.3086,55,0
CUST-00023,TX-100022,5833.67,WALLET,FAILED,Temporary payment authorization failure,43,0.8661,2,17284.87,0.35,0.3295,70,1
CUST-00024,TX-100023,24039.08,DEBIT_CARD,FAILED,Temporary payment authorization failure,31,0.7713,8,62624.95,0.3244,0.4106,9,0
CUST-00025,TX-100024,1473.67,NET_BANKING,FAILED,Temporary payment authorization failure,8,0.9643,3,234003.03,0.6573,0.2262,85,1
CUST-00026,TX-100025,10196.75,UPI,FAILED,Invoice payment overdue,14,0.8447,5,22773.06,0.3886,0.3761,59,0
CUST-00027,TX-100026,5722.28,DEBIT_CARD,FAILED,Expired card,30,0.8233,1,95534.14,0.2579,0.4069,45,0
CUST-00028,TX-100027,15486.11,WALLET,FAILED,Invoice payment overdue,11,0.7428,8,233280.23,0.7558,0.3086,2,0
CUST-00029,TX-100028,22297.96,WALLET,FAILED,Invoice payment overdue,7,0.9631,2,180814.99,0.4089,0.3155,20,0
CUST-00030,TX-100029,6652.47,CREDIT_CARD,FAILED,Temporary payment authorization failure,14,0.8525,4,5868.69,0.5993,0.298,82,1
CUST-00031,TX-100030,11324.97,NET_BANKING,FAILED,Invoice payment overdue,50,0.6076,4,221361.07,0.3276,0.4678,72,1
CUST-00032,TX-100031,14771.48,NET_BANKING,FAILED,Insufficient funds,58,0.6156,0,233606.56,0.8593,0.264,17,1
CUST-00033,TX-100032,6613.48,UPI,FAILED,Temporary payment authorization failure,56,0.5676,5,157062.07,0.366,0.4664,72,1
CUST-00034,TX-100033,24417.05,NET_BANKING,FAILED,Insufficient funds,10,0.9573,3,196684.69,0.883,0.1478,4,0
CUST-00035,TX-100034,19790.68,NET_BANKING,FAILED,Temporary payment authorization failure,27,0.903,3,205063.72,0.4108,0.3146,5,1
CUST-00036,TX-100035,16670.81,UPI,FAILED,Payment method declined,30,0.7038,3,73385.62,0.3761,0.4313,36,0
CUST-00037,TX-100036,1176.21,DEBIT_CARD,FAILED,Expired card,42,0.7741,8,31558.62,0.4616,0.3427,75,1
CUST-00038,TX-100037,24613.78,NET_BANKING,FAILED,Temporary payment authorization failure,28,0.7021,5,111834.09,0.5448,0.3765,74,1
CUST-00039,TX-100038,23536.45,DEBIT_CARD,FAILED,Invoice payment overdue,34,0.9573,8,230588.86,0.7426,0.1569,47,0
CUST-00040,TX-100039,7857.9,NET_BANKING,FAILED,Expired card,40,0.6881,1,36185.51,0.7686,0.2859,42,1
CUST-00041,TX-100040,22618.74,WALLET,FAILED,Network timeout,27,0.8426,6,79449.36,0.7351,0.2343,39,0
CUST-00042,TX-100041,11332.92,WALLET,FAILED,Insufficient funds,14,0.7392,5,185310.55,0.5673,0.3716,61,0
CUST-00043,TX-100042,15671.89,DEBIT_CARD,FAILED,Temporary payment authorization failure,43,0.5873,8,41101.72,0.7244,0.3518,87,0
CUST-00044,TX-100043,19327.99,NET_BANKING,FAILED,Payment method declined,3,0.6577,7,99074.72,0.6829,0.3942,81,0
CUST-00045,TX-100044,21580.79,NET_BANKING,FAILED,Temporary payment authorization failure,26,0.6574,0,131899.65,0.9052,0.2783,29,0
CUST-00046,TX-100045,20134.71,WALLET,FAILED,Invoice payment overdue,4,0.7953,1,223399.35,0.5606,0.3597,72,0
CUST-00047,TX-100046,22717.94,DEBIT_CARD,FAILED,Payment method declined,40,0.9086,8,210766.41,0.5371,0.2456,61,0
CUST-00048,TX-100047,6361.52,CREDIT_CARD,FAILED,Payment method declined,18,0.887,8,223791.57,0.5828,0.2782,37,1
CUST-00049,TX-100048,4243.73,CREDIT_CARD,FAILED,Insufficient funds,6,0.6109,3,106864.69,0.5026,0.4781,54,0
CUST-00050,TX-100049,14809.95,CREDIT_CARD,FAILED,Invoice payment overdue,14,0.9165,6,91180.91,0.9148,0.1524,74,1
CUST-00051,TX-100050,18498.53,DEBIT_CARD,FAILED,Network timeout,49,0.7216,6,12111.08,0.6252,0.3026,63,0
CUST-00052,TX-100051,21092.39,WALLET,FAILED,Insufficient funds,22,0.8443,6,143276.04,0.7721,0.2287,69,0
CUST-00053,TX-100052,11811.61,UPI,FAILED,Temporary payment authorization failure,2,0.5869,6,87687.63,0.3072,0.5664,49,0
CUST-00054,TX-100053,2506.7,WALLET,FAILED,Temporary payment authorization failure,57,0.7168,6,164285.3,0.3993,0.371,7,1
CUST-00055,TX-100054,23765.49,CREDIT_CARD,FAILED,Insufficient funds,50,0.9712,0,169017.42,0.7958,0.104,80,1
CUST-00056,TX-100055,19289.0,WALLET,FAILED,Insufficient funds,37,0.967,7,195559.01,0.7526,0.1431,78,0
CUST-00057,TX-100056,23257.74,NET_BANKING,FAILED,Network timeout,11,0.9745,1,150063.98,0.6572,0.2157,51,1
CUST-00058,TX-100057,7888.78,WALLET,FAILED,Invoice payment overdue,54,0.826,1,15061.94,0.7508,0.1929,16,1
CUST-00059,TX-100058,16364.81,NET_BANKING,FAILED,Temporary payment authorization failure,35,0.7385,5,160718.35,0.2545,0.4464,63,0
CUST-00060,TX-100059,18477.98,UPI,FAILED,Invoice payment overdue,54,0.7523,2,123456.89,0.544,0.3058,79,0
CUST-00061,TX-100060,6514.63,UPI,FAILED,Temporary payment authorization failure,28,0.9133,4,154531.27,0.4546,0.2919,58,1
CUST-00062,TX-100061,4955.08,UPI,FAILED,Insufficient funds,25,0.698,7,176790.02,0.8723,0.2691,34,0
CUST-00063,TX-100062,2597.52,NET_BANKING,FAILED,Invoice payment overdue,18,0.7945,8,121642.81,0.949,0.2009,63,1
CUST-00064,TX-100063,5929.11,DEBIT_CARD,FAILED,Invoice payment overdue,46,0.766,0,140600.87,0.2735,0.4063,40,1
CUST-00065,TX-100064,17719.95,UPI,FAILED,Expired card,23,0.7372,8,82309.25,0.4613,0.3948,33,0
CUST-00066,TX-100065,18595.81,WALLET,FAILED,Expired card,48,0.7858,2,208993.95,0.3513,0.3649,68,0
CUST-00067,TX-100066,17846.45,UPI,FAILED,Insufficient funds,19,0.6501,2,175867.26,0.4388,0.4572,6,0
CUST-00068,TX-100067,800.5,NET_BANKING,FAILED,Expired card,9,0.8307,7,17587.3,0.281,0.4298,62,1
CUST-00069,TX-100068,2315.01,CREDIT_CARD,FAILED,Invoice payment overdue,56,0.7602,1,79439.7,0.5166,0.3077,20,0
CUST-00070,TX-100069,19873.15,WALLET,FAILED,Insufficient funds,16,0.6021,6,215740.83,0.679,0.4045,49,0
CUST-00071,TX-100070,18632.19,DEBIT_CARD,FAILED,Insufficient funds,28,0.6844,0,47584.32,0.6816,0.3384,34,1
CUST-00072,TX-100071,15048.37,CREDIT_CARD,FAILED,Expired card,5,0.6189,6,215603.65,0.5559,0.4567,30,0
CUST-00073,TX-100072,15813.92,DEBIT_CARD,FAILED,Invoice payment overdue,5,0.8524,4,41502.4,0.8224,0.235,55,1
CUST-00074,TX-100073,19919.4,WALLET,FAILED,Network timeout,18,0.9137,1,79502.34,0.2471,0.381,37,0
CUST-00075,TX-100074,11225.09,CREDIT_CARD,FAILED,Network timeout,26,0.9648,8,11336.9,0.6266,0.2067,56,0
CUST-00076,TX-100075,16970.9,WALLET,FAILED,Expired card,15,0.9732,0,132146.14,0.9897,0.0933,6,1
CUST-00077,TX-100076,11179.18,CREDIT_CARD,FAILED,Payment method declined,29,0.9531,2,169182.71,0.9876,0.0818,61,1
